node_id,x,y,head(m),pressure(kPa),velocity_x(m/s),velocity_y(m/s),gradient
222,56.4176,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
223,58.4286,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
224,60.4396,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
225,62.4505,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
226,64.4615,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
227,66.4725,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
228,68.4835,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
229,70.4945,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
230,72.5055,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
231,74.5165,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
232,76.5275,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
233,78.5385,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
234,80.5495,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
235,82.5604,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
236,84.5714,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
237,86.5824,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
238,88.5934,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
239,90.6044,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
240,92.6154,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
241,94.6264,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
242,96.6374,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
243,98.6484,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
244,100.6593,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
245,102.6703,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
246,104.6813,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
247,106.6923,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
248,108.7033,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
249,110.7143,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
250,112.7253,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
251,114.7363,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
252,116.7473,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
253,118.7582,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
254,120.7692,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
255,122.7802,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
256,124.7912,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
257,126.8022,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
258,128.8132,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
259,130.8242,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
260,132.8352,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
261,134.8462,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
262,136.8571,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
263,138.8681,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
264,140.8791,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
265,142.8901,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
266,144.9011,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
267,146.9121,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
268,148.9231,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
269,150.9341,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
270,152.9451,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
271,154.9560,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
272,156.9670,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
273,158.9780,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
274,160.9890,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
275,163.0000,-4.0000,0.0000,39.2400,0.000000e+00,0.000000e+00,0.000000
276,-20.0000,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
277,-17.9890,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
278,-15.9780,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
279,-13.9670,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
280,-11.9560,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
281,-9.9451,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
282,-7.9341,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
283,-5.9231,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
284,-3.9121,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
285,-1.9011,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
286,0.1099,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
287,2.1209,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
288,4.1319,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
289,6.1429,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
290,8.1538,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
291,10.1648,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
292,12.1758,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
293,14.1868,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
294,16.1978,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
295,18.2088,-1.0000,0.0000,9.8100,0.000000e+00,0.000000e+00,0.000000
